Time (GMT),Wave Height (m),Max Wave Height (m),Tpeak (s),Tz (s),Peak Direction (degrees),Spread (degrees),Sea Temp (°C)
06-11-2017 14:30,0.84,1.24,4.6,3.7,196,49,13.5
06-11-2017 14:00,0.84,1.24,4.2,3.6,196,44,13.5
06-11-2017 13:30,0.84,1.5,4.4,3.6,190,38,13.5
06-11-2017 13:00,0.78,1.22,4.4,3.7,219,47,13.5
06-11-2017 12:30,0.75,1.07,11.8,3.7,277,74,13.5
06-11-2017 12:00,0.79,1,9.1,4,183,65,13.5
06-11-2017 11:30,0.81,0.98,12.5,4.4,326,59,13.5
06-11-2017 11:00,0.85,1.07,10,4.5,224,59,13.5
06-11-2017 10:30,0.89,1.23,11.1,4.9,328,62,13.5
06-11-2017 10:00,0.8,1.22,7.7,4.7,221,49,13.5
06-11-2017 09:30,0.79,1.19,7.1,5,232,41,13.5
06-11-2017 09:00,0.77,1,8.3,5.4,233,51,13.5
06-11-2017 08:30,0.96,1.12,7.1,5.8,239,43,13.5
06-11-2017 08:00,0.85,1.29,12.5,5.6,280,64,13.4
06-11-2017 07:30,0.89,1.25,6.3,5.6,235,46,13.5
06-11-2017 07:00,0.72,1.47,11.8,5.5,338,64,13.5
06-11-2017 06:30,0.67,1.07,10.5,5.4,329,55,13.5
06-11-2017 06:00,0.72,0.97,9.1,5.6,332,47,13.5
06-11-2017 05:30,0.76,1.01,5.9,5.3,318,56,13.5
06-11-2017 05:00,0.79,1.03,7.1,5.3,342,59,13.5
06-11-2017 04:30,0.79,1.04,8.3,5.3,336,46,13.5
06-11-2017 04:00,0.74,1.59,9.1,5.1,328,60,13.5
06-11-2017 03:30,0.68,1.22,6.7,5.1,3,57,13.5
06-11-2017 03:00,0.66,1.07,6.3,5.1,11,70,13.5
06-11-2017 02:30,0.71,1.21,5.9,5.1,48,53,13.5
06-11-2017 02:00,0.64,0.98,7.1,4.8,104,70,13.5
06-11-2017 01:30,0.66,0.88,5.9,4.8,61,59,13.5
06-11-2017 01:00,0.64,1.11,6.3,4.8,69,56,13.5
06-11-2017 00:30,0.73,0.94,6.3,5,77,53,13.5
06-11-2017 00:00,0.83,1.02,6.3,5,70,53,13.5
05-11-2017 23:30,0.9,1.22,6.3,5,46,59,13.5
05-11-2017 23:00,1.01,1.65,7.1,5.3,307,77,13.5
05-11-2017 22:30,1.07,1.52,8.3,5.7,228,39,13.5
05-11-2017 22:00,1.17,1.46,7.7,5.7,246,46,13.5
05-11-2017 21:30,0.99,1.69,6.3,5.3,207,73,13.5
05-11-2017 21:00,0.88,1.49,7.7,5.1,276,59,13.5
05-11-2017 20:30,1.03,1.45,8.3,5.8,242,51,13.5
05-11-2017 20:00,1.27,1.97,7.7,6,242,38,13.5
05-11-2017 19:30,1.23,2.08,9.1,5.7,273,52,13.4
05-11-2017 19:00,1.06,1.93,12.5,5.6,253,65,13.5
05-11-2017 18:30,0.88,1.68,12.5,5.7,297,57,13.5
05-11-2017 18:00,0.89,1.45,11.1,5.2,331,60,13.5
05-11-2017 17:30,0.94,1.47,7.1,5.1,325,45,13.5
05-11-2017 17:00,0.95,1.61,7.1,4.8,329,43,13.6
05-11-2017 16:30,0.98,1.45,7.1,4.9,331,35,13.6
05-11-2017 16:00,0.98,1.36,7.1,4.8,312,43,13.6
05-11-2017 15:30,0.93,1.4,6.7,4.8,335,48,13.6
05-11-2017 15:00,0.9,1.44,6.3,4.5,14,50,13.6
05-11-2017 14:30,0.86,1.34,6.7,4.3,0,59,13.6
